"","ISO","lang.family","lang.genus","native.country","native.country.area","language","lat","lon","area","perimeter","n.neighbors","mean.temp","sum.precip","sd.temp","sd.precip","growing.season","pop_log","morphological.complexity","complexity.bias","p.complexity.bias","mono.complexity.bias","open.complexity.bias","morphological.complexity.ld","propPresent","adjusted.complexity","scaled.LDT.ZM","scaled.LDT.H","scaled.LDT.TTR","TTR.LDT","n.L1.speakers","n.L2.speakers","ratio.L2.L1","H_scaled.EPC","H_scaled.PBC","H_scaled.UDHR","n.phonemes","n.consonants","n.vowels","n.sonorants","n.obstruents","n.monophthongs","n.qual.monophthongs","n.tones","mean.length","sd.length","information.density","syllable.rate","information.rate","mean.aoa"
"1","cat","Indo-European","Romance","Spain","Europe","catalan",41.75,2,1366457.25,1092920.75,6.5,15.800025,49.822625,17.028375,5.206675,9.75,6.82395,13,0.401667929,0.273216297,0.22001229,0.357893264,-2,0.125,-16,-0.309356425,-0.318512138,-0.323328175,0.328056769,9115080,5000000,0.548541538,NA,0.1244763197,-0.2315288025,39,27,12,14,13,8,8,0,3.95033112582781,1.59557196316077,NA,NA,NA,4.19231543624161
"2","eng","Indo-European","Germanic","United Kingdom","Europe","english",52,0,60193309.2941176,274119338.764706,26.7647058823529,10.400145,49.67513,7.93249,5.166097,8.210026,8.49045,12,NA,NA,NA,NA,-14,1,-14,-0.284163566,-0.643150224,-0.507225132,0.304123711,339004069,365000000,1.076683242,-1.4503947355,-0.8545716779,-0.5530868304,40,27,13,7,20,13,8,0,3.54,1.09793194026522,0.91,6.19,1.08,3.92147157190635
"3","fra","Indo-European","Romance","Switzerland","Europe","french",48,2,10563426.375,5717447.125,15.875,10.4703754716981,52.3178867924528,6.95769811320755,5.85321886792453,8.90107735849057,7.81197,17,0.381641634,0.243687546,0.255211702,0.343530815,-12,1,-12,-0.050917209,-0.064920956,-0.288059605,0.332646756,88612817,80700000,0.910703474,-0.9552862134,0.0179203472,0.0853137066,40,23,17,10,13,17,12,0,3.79,1.47740558843104,0.74,7.18,0.99,NA
"4","por","Indo-European","Romance","Portugal","Europe","portuguese",39,-8,9139129,7738523,11,15.7578090909091,54.5903939393939,32.4133939393939,5.32146363636364,7.97979696969697,8.24909,13,0.451696463,0.330577823,0.292785563,0.402134553,-3,0.41667,-7.1999424004608,-0.093618157,-0.003421397,-0.217360371,0.341847826,182670000,17500000,0.095801172,-0.8559151439,-0.0142420945,0.0066088636,38,23,15,10,13,15,7,0,4.3,1.32432856717891,NA,NA,NA,NA
"5","spa","Indo-European","Romance","Spain","Europe","spanish",40,-4,11665306.4444444,10578811.8888889,14.5555555555556,14.7713026315789,35.2508684210526,15.1995263157895,6.88576842105263,6.55263157894737,8.50826,19,0.395886944,0.262181678,0.233440038,0.338645961,-12,1,-12,-0.321932557,-0.488844134,-0.450343698,0.31152648,343259405,105000000,0.305891109,-1.3278565552,-0.1741653169,-0.361977057,25,20,5,9,11,5,5,0,4.825,1.36584417230894,0.63,7.82,0.98,4.34826086956522
"6","arz","Afro-Asiatic","Semitic","Egypt","Africa","arabicegyptian",30,31,3306230,2379857,4,21.0072222222222,2.49588888888889,2.85911111111111,5.43184444444444,0.0893666666666667,7.66578,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5782612823,NA,67,58,9,12,46,9,4,0,4.575,1.35660776032891,NA,NA,NA,NA
"7","arb","Afro-Asiatic","Semitic","Yemen","Asia","arabic",25,42,NA,NA,NA,NA,NA,NA,NA,NA,8.31387,14,0.164882675,0.01504097,0.151904211,0.104776073,NA,NA,NA,1.159253818,1.32094036,1.514096938,0.56718634,192300000,246000000,1.27925117,NA,2.2018124599,1.3283092563,NA,NA,NA,NA,NA,NA,NA,NA,4.57327586206897,1.23579636416084,NA,NA,NA,NA
"8","afb","Afro-Asiatic","Semitic","Saudi Arabia","Asia","arabicgulf",26,49,5959005.55555556,3503967.44444444,10.8888888888889,25.651525,10.26825,12.547375,6.9050125,0.805475,6.36896,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.275,0.986771477454607,NA,NA,NA,NA
"9","ben","Indo-European","Indic","India","Asia","bengali",24,90,5319442,65467,36.5,25.6542,169.112444444444,155.335444444444,3.87976666666667,7.38046666666667,8.23317,12,0.170295782,0.005742663,0.10938867,0.12692388,-1,0.20833,-4.80007680122882,0.916961407,0.979528903,0.826555144,0.477707006,175636450,87750000,0.499611556,NA,0.6426892638,1.0043913947,53,36,17,13,23,17,10,0,4.075,1.07744950503373,NA,NA,NA,NA
"10","dan","Indo-European","Germanic","Denmark","Europe","danish",56,10,2253907,5242716,7,7.6049,58.026875,16.50375,6.3084375,6.090275,6.72426,10,0.510838791,0.376817384,0.393985757,0.474205672,-6,0.41667,-14.3998848009216,NA,NA,NA,NA,NA,NA,NA,-0.8382526403,-0.1350866745,0.1722531081,NA,NA,NA,NA,NA,NA,NA,NA,3.85,1.09895054833796,NA,NA,NA,3.40297658862876
